max_iter,learning_rate,bracket,n_i,r_i,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
20,0.04868834314434418,2,9,2.2222222222222223,1.2305505648926571,55.173141891891895,0.6846161760548328,73.8,0.6892934601018383,73.64
20,0.15590508398891814,2,9,2.2222222222222223,2.1947236447720915,17.75760135135135,2.310292304830348,10.0,2.310065559520843,10.0
20,0.1099942070127715,2,9,2.2222222222222223,1.4472448076750781,47.33248873873874,0.9092063085829958,67.28333333333333,0.9197201269447424,66.38
20,0.19655428734472855,2,9,2.2222222222222223,1.710139099542085,38.168637387387385,1.374184028899416,50.9,1.3719068211355028,51.2
20,0.19521397622158207,2,9,2.2222222222222223,2.250732424022915,16.07545045045045,2.3125712643278407,10.0,2.3123151360044054,10.0
20,0.06887555871537776,2,9,2.2222222222222223,1.223050588154578,55.08164414414414,0.6734320708411805,75.71666666666667,0.6773798818800859,75.57
20,0.06983959953063108,2,9,2.2222222222222223,1.3919527855542329,48.66272522522522,0.8414801904495727,68.31666666666666,0.8517307062057933,68.22
20,0.2006661722062198,2,9,2.2222222222222223,2.005497733214954,26.541385135135137,1.6952062807184585,44.5,1.6935577012930707,44.17
20,0.23957669906724258,2,9,2.2222222222222223,1.8226273516276936,33.945664414414416,1.4673690161806472,41.733333333333334,1.4795882823360953,41.28
20,0.06887555871537776,2,3.0,6.666666666666667,1.0856909179114722,60.55508633633634,0.6387757097787046,74.55,0.6471576777992735,74.67
20,0.04868834314434418,2,3.0,6.666666666666667,0.9644941473687375,63.68947072072072,0.5834401785693271,73.21666666666667,0.5977825854614283,72.57
20,0.06983959953063108,2,3.0,6.666666666666667,1.0946945603545364,60.10698198198198,0.692980039309948,75.98333333333333,0.7115392022451777,75.31
20,0.04868834314434418,2,1.0,20.0,0.8118310821205378,69.7979182295574,0.4894872856266955,81.1,0.5010698454774869,80.52
20,0.23848688298068346,2,9,2.2222222222222223,2.2399925385509527,18.6303490990991,2.3131791074225245,10.0,2.3129403864502147,10.0
20,0.24803949121357288,2,9,2.2222222222222223,2.297887791384448,11.613175675675675,2.313038153851286,10.0,2.3128065288446513,10.0
20,0.12042112820743604,2,9,2.2222222222222223,1.5350925487440985,43.10247747747748,1.1374306742181168,56.3,1.1407837947462773,56.2
20,0.23590830798606796,2,9,2.2222222222222223,2.3070547795510508,12.197353603603604,2.3131939705382,10.0,2.3129514417830546,10.0
20,0.1874449821531018,2,9,2.2222222222222223,2.3122009543685227,13.048986486486486,2.3122336179652114,10.0,2.3119786863873717,10.0
20,0.21015500718393249,2,9,2.2222222222222223,1.8676920039159757,33.20664414414414,1.4644725195904995,46.86666666666667,1.4570092608214944,46.95
20,0.06131510940682362,2,9,2.2222222222222223,1.3004744936217059,51.414695945945944,0.7724815372456896,68.9,0.7820582264547895,69.2
20,0.09212881630072785,2,9,2.2222222222222223,1.3789827842433173,49.802927927927925,0.7785364332351279,69.41666666666667,0.7881398117466337,69.53
20,0.09362665701795096,2,9,2.2222222222222223,1.3855244224672918,49.176520270270274,1.049363266280357,66.88333333333334,1.049169434863291,65.91
20,0.06131510940682362,2,3.0,6.666666666666667,1.021261506878936,62.3803490990991,0.6220176153360529,77.0,0.6297066989977649,76.76
20,0.09212881630072785,2,3.0,6.666666666666667,1.3144167864823844,50.98301426426426,0.8698703893955718,64.05,0.876508378678826,63.62
20,0.09362665701795096,2,3.0,6.666666666666667,1.2193563531289946,56.254692192192195,0.7678989806073777,67.55,0.7843482239990477,67.54
20,0.06131510940682362,2,1.0,20.0,0.9142710381746292,65.84771192798199,0.5686913088281104,78.05,0.568446820518773,77.87
20,0.06524171006218471,2,9,2.2222222222222223,1.4089454272845845,48.12781531531532,0.7617025340491153,73.08333333333333,0.770048010311309,72.39
20,0.12217536193104166,2,9,2.2222222222222223,1.4945507148901622,44.826858108108105,1.256631667309619,54.516666666666666,1.2618769889424561,54.23
20,0.1959848672340818,2,9,2.2222222222222223,2.3009938758772774,11.402027027027026,2.312607372060735,10.0,2.312350912458578,10.0
20,0.23068050506809298,2,9,2.2222222222222223,1.9235256024309106,30.06052927927928,1.7564285473620638,39.81666666666667,1.765004291655911,39.22
20,0.05496570917304055,2,9,2.2222222222222223,1.3129373896229375,51.23873873873874,0.7244367396577875,73.7,0.7346840825430148,72.96
20,0.14594600131616475,2,9,2.2222222222222223,1.553140177383079,43.707770270270274,0.9069869848007851,66.93333333333334,0.9148135097922793,66.78
20,0.09198106859683546,2,9,2.2222222222222223,1.355259424125826,50.281531531531535,0.8200531697019617,69.75,0.8322966038041814,68.91
20,0.06625015323762022,2,9,2.2222222222222223,1.2913684393908527,52.25929054054054,0.8145258692984886,70.06666666666666,0.8228288873745377,69.45
20,0.10199691278424855,2,9,2.2222222222222223,1.4979638564694036,45.692567567567565,0.9026021500851246,67.43333333333334,0.917176859773648,67.06
20,0.05496570917304055,2,3.0,6.666666666666667,1.0734042853743464,60.308746246246244,0.6718565095612343,74.25,0.6771085896309773,74.26
20,0.06524171006218471,2,3.0,6.666666666666667,1.0712090940983803,60.38147522522522,0.6567095289839074,76.36666666666666,0.6624691691368249,75.54
20,0.06625015323762022,2,3.0,6.666666666666667,1.0492552964536994,61.57563813813814,0.742672934811166,67.41666666666667,0.755020285677758,66.95
20,0.06524171006218471,2,1.0,20.0,0.9072069893032313,66.72058639659915,0.5348736269676939,78.93333333333334,0.5602107450460933,78.26
40,0.04868834314434418,3,27,1.4814814814814814,1.3806765184209153,48.8597972972973,0.711599330318735,73.1,0.7275650465184715,72.92
40,0.15590508398891814,3,27,1.4814814814814814,1.762221274343697,35.99028716216216,1.1698718977735398,57.31666666666667,1.167024967017447,56.82
40,0.1099942070127715,3,27,1.4814814814814814,1.6190615888382938,39.748733108108105,0.9287933352145743,65.36666666666666,0.9414296491890196,64.96
40,0.19655428734472855,3,27,1.4814814814814814,1.7829157702020697,35.99028716216216,1.222699706858777,55.5,1.2289180687278698,54.9
40,0.19521397622158207,3,27,1.4814814814814814,1.7528090460880383,35.8741554054054,1.2459686950166176,54.15,1.2551032707190057,53.91
40,0.06887555871537776,3,27,1.4814814814814814,1.3823178483022225,49.1870777027027,0.7814718763879005,68.45,0.7828865081641325,68.66
40,0.06983959953063108,3,27,1.4814814814814814,1.4791343586670387,45.2491554054054,0.8040490077531084,70.01666666666667,0.8257919679022139,69.21
40,0.2006661722062198,3,27,1.4814814814814814,2.0027795554818333,26.752533783783782,1.3921859492646886,53.05,1.41128537761178,52.5
40,0.23957669906724258,3,27,1.4814814814814814,1.9159247730229352,30.0464527027027,1.4277167459751696,48.15,1.4181275663861803,48.05
40,0.2191072260507816,3,27,1.4814814814814814,1.999710103949985,27.069256756756758,1.4504340088113825,48.7,1.4472329973415206,48.72
40,0.0900965002195088,3,27,1.4814814814814814,1.4505937268605102,46.135979729729726,0.8800700839529646,63.96666666666667,0.8980865336147843,62.77
40,0.12574778625534122,3,27,1.4814814814814814,1.638383294279511,40.392736486486484,1.0311612442452858,61.88333333333333,1.042919636532,62.55
40,0.17118227085786195,3,27,1.4814814814814814,1.6976694150550946,38.36570945945946,1.0873766852186082,60.333333333333336,1.093845983979049,59.72
40,0.17846280471874215,3,27,1.4814814814814814,1.7973847357002464,35.388513513513516,1.2318523893965052,58.1,1.2322181952986748,58.12
40,0.09319243794280833,3,27,1.4814814814814814,1.4213938930550136,47.74070945945946,0.8759957995820553,68.45,0.8684482270744955,69.54
40,0.1407378503303406,3,27,1.4814814814814814,1.7105840798970815,37.70059121621622,0.909140425793668,66.23333333333333,0.9105523843674144,66.24
40,0.12626770816164462,3,27,1.4814814814814814,1.6216350801893182,40.93116554054054,1.0723728391718357,58.416666666666664,1.0818912944975931,58.04
40,0.004428343948079878,3,27,1.4814814814814814,1.918661210988019,30.236486486486488,1.0220396461638999,64.9,1.031893208907668,64.75
40,0.19343382878148113,3,27,1.4814814814814814,2.0551832068610834,20.99873310810811,1.8657822520174878,23.05,1.8630180275364288,23.03
40,0.22077765646839304,3,27,1.4814814814814814,nan,15.181587837837839,nan,10.0,nan,10.0
40,0.0918566099914417,3,27,1.4814814814814814,1.472758953635757,45.629222972972975,0.8093312312947943,70.46666666666667,0.8303540516051517,69.68
40,0.15423364842993995,3,27,1.4814814814814814,2.2792119327429177,13.165118243243244,2.304857611656189,10.0,2.304792013897258,10.0
40,0.019769929169101162,3,27,1.4814814814814814,1.552765868000082,40.160472972972975,0.9050104041048821,67.45,0.9095846224742331,67.8
40,0.09283717749449165,3,27,1.4814814814814814,1.6196451477102332,39.273648648648646,0.9919896189202654,60.983333333333334,0.99751027602299,61.17
40,0.23335188539364787,3,27,1.4814814814814814,4.445539464821687,12.130489864864865,2.307114882672087,10.0,2.3070685104200037,10.0
40,0.16319315766341777,3,27,1.4814814814814814,1.8560252898448222,32.3902027027027,1.236319822199801,53.583333333333336,1.242601437933126,54.2
40,0.09990344185381239,3,27,1.4814814814814814,1.4934100403979018,45.460304054054056,0.9109979937685296,62.6,0.918022482258499,61.99
40,0.04868834314434418,3,9.0,4.444444444444445,1.0308513030544058,61.827843468468465,0.6089397900282069,76.43333333333334,0.6143858626389959,76.28
40,0.06887555871537776,3,9.0,4.444444444444445,1.1569219968608908,58.365005630630634,0.6632153604258882,75.0,0.6736029855384948,74.08
40,0.06983959953063108,3,9.0,4.444444444444445,1.205267423982019,56.30278716216216,0.7180775511772075,73.71666666666667,0.7260432106674097,72.76
40,0.0918566099914417,3,9.0,4.444444444444445,1.3461453168241828,51.097972972972975,0.9071234952896199,66.86666666666666,0.9072779310736686,66.55
40,0.09319243794280833,3,9.0,4.444444444444445,1.2771709106258444,53.388935810810814,0.7494711891767827,71.98333333333333,0.7597041171827134,71.46
40,0.0900965002195088,3,9.0,4.444444444444445,1.2398488733682547,54.37781531531532,0.7563172008128877,70.91666666666667,0.7706434286324082,70.67
40,0.019769929169101162,3,9.0,4.444444444444445,1.0208771383842907,61.84192004504504,0.5632335610212164,77.83333333333333,0.5672364003339391,77.85
40,0.1407378503303406,3,9.0,4.444444444444445,1.6645098623928722,39.79096283783784,1.1674554753810802,56.2,1.1836355784136778,55.69
40,0.09990344185381239,3,9.0,4.444444444444445,1.420425423227989,49.26801801801802,0.9341130364448467,64.68333333333334,0.9439166753914705,64.44
40,0.019769929169101162,3,3.0,13.333333333333332,0.789733752149974,70.86850497092477,0.4709338171684996,81.23333333333333,0.49368302723404706,80.16
