max_iter,learning_rate,bracket,n_i,r_i,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
20,0.06524171006218471,2,9,2.2222222222222223,1.3432720738488275,50.19003378378378,0.7614575706897898,70.65,0.770533887064381,70.14
20,0.12217536193104166,2,9,2.2222222222222223,1.5598628553184304,42.45495495495496,1.1175072186804833,62.13333333333333,1.1273045486705318,60.94
20,0.1959848672340818,2,9,2.2222222222222223,1.7354296053852047,37.795608108108105,1.221902421180238,55.516666666666666,1.233105939285011,55.19
20,0.23068050506809298,2,9,2.2222222222222223,2.3387171797924213,13.69650900900901,2.3132214013566363,10.0,2.312974996627516,10.0
20,0.05496570917304055,2,9,2.2222222222222223,1.2659224944340217,53.899211711711715,0.685246098231762,72.95,0.6962941911569827,72.45
20,0.14594600131616475,2,9,2.2222222222222223,2.254259789312208,13.344594594594595,2.3094505376004157,10.0,2.3092236412558584,10.0
20,0.09198106859683546,2,9,2.2222222222222223,1.5203506173314274,45.474380630630634,0.9509789829558515,65.53333333333333,0.9577776155654033,64.96
20,0.06625015323762022,2,9,2.2222222222222223,1.299214161462612,51.302083333333336,0.7961592496709621,69.06666666666666,0.8221943845414812,68.48
20,0.10199691278424855,2,9,2.2222222222222223,2.156025820487254,17.581644144144143,2.3067199143957584,10.0,2.3065576462229345,10.0
20,0.05496570917304055,2,3.0,6.666666666666667,0.9856636048079253,63.36336336336336,0.5702238469681842,78.53333333333333,0.5704208401737699,77.52
20,0.06524171006218471,2,3.0,6.666666666666667,1.0485736349144497,61.80086336336336,0.6035348275240432,77.6,0.6087680280588235,76.82
20,0.06625015323762022,2,3.0,6.666666666666667,1.0588283462746366,60.909346846846844,0.6331223189196689,75.71666666666667,0.6458776538159438,74.9
20,0.05496570917304055,2,1.0,20.0,0.88993368960917,66.81201550387597,0.5427140805949556,80.7,0.5597394557705351,79.56
20,0.23848688298068346,1,3,6.666666666666666,2.3473770317730605,10.855386636636636,2.3092024098051356,10.0,2.30911964519768,10.0
20,0.24803949121357288,1,3,6.666666666666666,2.3055873665365727,11.82667042042042,2.3095722299941044,10.0,2.3094934946412495,10.0
20,0.12042112820743604,1,3,6.666666666666666,1.3865973744485471,48.672109609609606,0.9290288217524265,66.23333333333333,0.9388855866565826,65.84
20,0.12042112820743604,1,1.0,20.0,1.2481820441782474,54.07523755938985,0.9652484179811275,63.11666666666667,0.9811244067872406,62.97
20,0.04868834314434418,0,3,20,0.8345561422854662,68.9164478619655,0.5445468817302521,79.85,0.5577162433961395,79.53
20,0.15590508398891814,0,3,20,1.4892589048743248,45.89897474368592,1.1697141109628881,59.18333333333333,1.1636419110237413,58.51
20,0.1099942070127715,0,3,20,1.2975016476213932,52.455301325331334,0.8322770481413984,65.91666666666667,0.8598361580994478,65.02
40,0.1820927700519973,3,27,1.4814814814814814,1.7960376127346143,34.7339527027027,1.1409602837359651,59.36666666666667,1.1369374796843073,59.65
40,0.18044323961556735,3,27,1.4814814814814814,1.7899607669662785,34.74451013513514,1.1437056413356295,58.21666666666667,1.1475115775302718,58.34
