learning_rate, bracket, n_i, r_i, train_loss, train_accuracy, val_loss, val_accuracy, test_loss, test_accuracy
0.043949576017528726,4,81,1.0,0.6465448351204395,79.29,0.16593288065244755,95.15,0.1411380429356359,95.77
0.04493260017975917,4,81,1.0,0.6627631093561649,78.17,0.19816625596334536,94.66666666666667,0.16424504791386427,95.23
0.015325700852068821,4,81,1.0,0.7449998368322849,75.72,0.2727614315847556,91.93333333333334,0.24948466615751386,92.25
0.04556810986034113,4,81,1.0,0.636529147028923,80.14,0.18199324316034715,94.93333333333334,0.15532738640904425,95.21
0.0026903541026186014,4,81,1.0,1.2950713694095612,60.79,0.40559367537498475,88.38333333333334,0.385830157995224,89.28
0.02109347856783888,4,81,1.0,0.6759083135426045,78.78,0.22680056107540925,93.15,0.2031826731748879,93.78
0.029254967584098013,4,81,1.0,0.7047703333199025,77.13,0.20696654294927916,93.75,0.18035871602594852,94.55
0.001898292157800497,4,81,1.0,1.2248139831423759,62.96,0.42664127151171366,87.83333333333333,0.4047503782063723,88.85
0.0010357790209088306,4,81,1.0,1.9692778122425079,42.14,1.176359893878301,76.93333333333334,1.1487727588415146,79.23
0.0011885750617679678,4,81,1.0,1.6109449028968812,52.55,0.5991258298357328,84.36666666666666,0.5680580352246761,85.36
0.005508077858706407,4,81,1.0,0.9088652759790421,70.96,0.3224515177309513,90.56666666666666,0.3006867969967425,90.99
0.021672563511856258,4,81,1.0,0.7089600591361522,77.39,0.21342381661136944,94.0,0.1927732453867793,94.08
0.0019688056948451264,4,81,1.0,1.2114500784873963,64.0,0.41913847823937733,88.16666666666667,0.3955842664092779,89.01
0.01048682121412555,4,81,1.0,0.7842435759305953,75.05,0.27297749916712444,91.96666666666667,0.25134665983729065,92.32
0.017619391530554616,4,81,1.0,0.7408408993482589,76.4,0.2519801570723454,92.55,0.2274956508073956,93.16
0.007886807776936242,4,81,1.0,0.8444378852844239,72.64,0.3113604212800662,91.05,0.295169263407588,91.17
0.007697435587826705,4,81,1.0,0.8293634408712387,73.82,0.2970042816052834,91.51666666666667,0.2790501927025616,91.72
0.0018570210334919982,4,81,1.0,1.2872288987040519,62.12,0.4379073257247607,87.28333333333333,0.4099958580732346,88.17
0.0077794125324254105,4,81,1.0,0.7945236775279045,75.12,0.2951583324621121,91.3,0.2776133531332016,91.54
