max_iter,learning_rate,bracket,n_i,r_i,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
20,0.2465829303865381,2,9,2.2222222222222223,1.644696991722863,39.611486486486484,0.8501909888805227,66.98333333333333,0.8805005690854066,65.4
20,0.218474594509343,2,9,2.2222222222222223,1.400244194376576,49.563626126126124,0.6883360404283443,75.2,0.7131171201824382,74.21
20,0.12792663571792381,2,9,2.2222222222222223,1.8346745382558118,28.300957207207208,1.2808894914515474,51.7,1.2883143986865973,50.53
20,0.06868709285623686,2,9,2.2222222222222223,1.1318447432807974,57.601351351351354,0.623570478025903,75.56666666666666,0.6499083736899552,75.11
20,0.08489276320874492,2,9,2.2222222222222223,1.2195819895546716,53.779560810810814,0.6103016394884029,76.28333333333333,0.646580078039959,75.24
20,0.055021611989214146,2,9,2.2222222222222223,1.2136367379545092,54.58192567567568,0.6520483937669308,75.45,0.6833273920283955,74.5
20,0.06984280864529609,2,9,2.2222222222222223,1.1363610445379138,57.953265765765764,0.6077061501589227,75.76666666666667,0.6359702709374154,75.51
20,0.08648558260208493,2,9,2.2222222222222223,1.234625286078668,53.216497747747745,0.6349989679899621,75.03333333333333,0.6654891403997021,73.95
20,0.21567757492950337,2,9,2.2222222222222223,1.4254872713003073,47.226914414414416,0.7440546712976821,69.06666666666666,0.7774467673271325,67.9
20,0.06984280864529609,2,3.0,6.666666666666667,0.8749487428246318,68.01801801801801,0.5514246624834994,78.35,0.579642128792538,77.39
20,0.08489276320874492,2,3.0,6.666666666666667,0.8885172643998006,67.11242492492492,0.5590113150946637,77.76666666666667,0.600082069825215,76.35
20,0.06868709285623686,2,3.0,6.666666666666667,0.9075098322765963,66.5329391891892,0.5708191439192346,77.73333333333333,0.5982204614930852,76.64
20,0.06984280864529609,2,1.0,20.0,0.8380308562666178,69.08367716929233,0.5635974356468688,78.0,0.5903258392005969,77.02
20,0.15188859142304378,2,9,2.2222222222222223,1.6710034619580518,36.3597972972973,0.8877011512188201,68.18333333333334,0.9062609228358907,67.66
20,0.18360897093718104,2,9,2.2222222222222223,1.3791626289084151,49.767736486486484,0.6886079501598439,75.05,0.7218766379508244,73.79
20,0.035597842025371286,2,9,2.2222222222222223,1.2335063911773063,53.4276463963964,0.6823575189138981,74.38333333333334,0.7084334071274776,73.85
20,0.07885559787981705,2,9,2.2222222222222223,1.1352243979234953,57.347972972972975,0.6166017026977336,76.2,0.6461371103669428,74.71
20,0.24931357705373935,2,9,2.2222222222222223,1.484582799511987,44.63682432432432,0.8122908536424028,70.91666666666667,0.8319345226713047,70.77
20,0.032912431479321214,2,9,2.2222222222222223,1.2712096102065868,52.17483108108108,0.7207150687562659,73.28333333333333,0.7438484018395661,72.41
20,0.04556928338159682,2,9,2.2222222222222223,1.171759126691131,56.02477477477478,0.6348069291165535,75.5,0.6592301301136139,74.98
20,0.18847843176524737,2,9,2.2222222222222223,1.3628644148508708,48.817567567567565,0.6595266886213993,74.66666666666667,0.6828110726775637,73.95
20,0.16587796806307398,2,9,2.2222222222222223,2.2600841226878465,12.66188063063063,2.303220066618412,10.0,2.3032614911437794,10.0
20,0.07885559787981705,2,3.0,6.666666666666667,0.8656664586013502,68.33943318318319,0.5433140061003097,78.5,0.5739701357996387,77.56
20,0.04556928338159682,2,3.0,6.666666666666667,0.9559133339214612,64.80152027027027,0.6032141310737488,76.06666666666666,0.6221090133782405,75.64
20,0.18847843176524737,2,3.0,6.666666666666667,2.296831607460618,10.430743243243244,2.3026681580442063,10.0,2.3026749814391896,10.0
20,0.07885559787981705,2,1.0,20.0,0.8136687555760145,69.55176294073519,0.5803150639254996,76.73333333333333,0.6090472031171155,75.58
20,0.0033302948381334113,2,9,2.2222222222222223,2.191962957382202,21.12894144144144,1.9609177454989006,43.916666666666664,1.9650158692317403,44.54
20,0.125265394902145,2,9,2.2222222222222223,1.248252646880107,53.997747747747745,0.6422066923151625,75.08333333333333,0.6708532934355887,74.11
20,0.029232538793773955,2,9,2.2222222222222223,1.2299213363780632,53.13907657657658,0.6694951320582248,72.8,0.6972996558353399,72.15
20,0.013443530526229989,2,9,2.2222222222222223,1.3381086547632475,50.548986486486484,0.7310766228970061,73.05,0.7591847336975632,71.98
20,0.17166649096652983,2,9,2.2222222222222223,1.3505014288532842,51.25281531531532,0.7009257959558609,74.21666666666667,0.7228584720450602,73.82
20,0.12226002898571686,2,9,2.2222222222222223,1.2192457363949165,54.370777027027025,0.617865856340591,76.1,0.64658571219748,75.4
20,0.22451664938437413,2,9,2.2222222222222223,1.6256023210448187,39.65371621621622,1.0379300288697506,59.766666666666666,1.0588490731397253,58.86
20,0.1622155656150733,2,9,2.2222222222222223,2.279000173280905,12.190315315315315,2.303200769931712,10.0,2.3032465907418804,10.0
20,0.22434381757495817,2,9,2.2222222222222223,1.5580014532750792,42.64498873873874,0.8219111308138422,69.45,0.8490087655699177,68.92
20,0.12226002898571686,2,3.0,6.666666666666667,0.9880440988698164,63.213213213213216,0.5687237258287187,76.31666666666666,0.5965896155803826,75.87
20,0.125265394902145,2,3.0,6.666666666666667,1.2206548526659384,53.744369369369366,0.682170940206406,75.31666666666666,0.7053129752730108,74.43
20,0.029232538793773955,2,3.0,6.666666666666667,0.9822036715241166,62.915259009009006,0.6374851322554528,75.11666666666666,0.6683524002315132,74.34
20,0.12226002898571686,2,1.0,20.0,0.8164364176094532,69.6236559139785,0.5697899711258868,77.01666666666667,0.5905355205581446,76.22
