max_iter,learning_rate,bracket,n_i,r_i,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
20,0.15426842923780196,2,9,2.2222222222222223,1.6927459615844864,39.463682432432435,1.0444070620739714,61.25,1.0589598238847817,61.28
20,0.13510229227024256,2,9,2.2222222222222223,1.5827111553501438,43.179898648648646,1.0046653379785253,66.06666666666666,1.047497371199784,65.11
20,0.21501687512331322,2,9,2.2222222222222223,1.8393613357801695,34.15681306306306,1.4218651068971513,52.833333333333336,1.4318081998521355,52.64
20,0.16644625098470422,2,9,2.2222222222222223,1.842259754468729,32.55912162162162,1.2002096442466086,52.516666666666666,1.2198236379653784,51.88
20,0.13849993439534572,2,9,2.2222222222222223,2.1278139589069127,18.46143018018018,1.6857449501118762,33.733333333333334,1.6829354611172038,34.17
20,0.10193998283045418,2,9,2.2222222222222223,1.8884227436942023,30.5884009009009,1.4056265861430066,54.016666666666666,1.4100167197027025,54.09
20,0.2381545267217074,2,9,2.2222222222222223,1.902985657657589,30.18721846846847,1.4061062957378143,51.8,1.423023258045221,51.38
20,0.16332052907188174,2,9,2.2222222222222223,2.212990252284316,14.583333333333334,2.305117739007828,10.0,2.3051934409293398,10.0
20,0.18128429785871975,2,9,2.2222222222222223,1.7517189818459589,36.289414414414416,1.3932252183873604,54.35,1.4138585792225637,53.76
20,0.13510229227024256,2,3.0,6.666666666666667,1.4059717435915549,49.19763513513514,0.9955923829941039,62.8,1.0037372298301406,62.58
20,0.15426842923780196,2,3.0,6.666666666666667,1.970710708214356,20.917792792792792,2.08447169496658,15.083333333333334,2.0850367105690535,15.11
20,0.16644625098470422,2,3.0,6.666666666666667,1.675375205797476,38.649587087087085,1.4577579193926873,41.6,1.472833982698477,41.28
20,0.13510229227024256,2,1.0,20.0,1.3469697523117066,50.74862465616404,1.0030779064969813,61.86666666666667,1.0239737675448133,61.3
20,0.03135400911702668,1,3,6.666666666666666,0.9496686307338623,64.56456456456456,0.5193361069293733,80.31666666666666,0.5476501595442462,79.34
20,0.1479146352100257,1,3,6.666666666666666,1.437858711491834,47.696133633633636,1.023136816126235,59.03333333333333,1.0506176246199639,58.98
20,0.14384820105840285,1,3,6.666666666666666,1.4531706613642317,47.74070945945946,0.998899278488565,60.61666666666667,1.020911658265788,60.44
20,0.03135400911702668,1,1.0,20.0,0.7790368224978447,71.03260190047511,0.46546792508439816,82.01666666666667,0.4973703434892521,80.42
20,0.23273525757369062,0,3,20,1.9925109614729881,26.676981745436358,1.7250765460602782,46.25,1.740287887062996,45.26
20,0.02558832977682353,0,3,20,0.7412433685660362,72.67598149537385,0.4236626132054532,84.05,0.4572511926578109,83.08
20,0.18417213362495202,0,3,20,1.7146341540813446,37.19758064516129,1.275314861155571,53.833333333333336,1.2902806275969099,54.22
40,0.226069178018932,3,27,1.4814814814814814,1.978072571593362,28.46283783783784,1.341634581697748,54.21666666666667,1.3612983226776123,52.78
40,0.001544689452523192,3,27,1.4814814814814814,2.149424020503018,19.87964527027027,1.641341526457604,39.483333333333334,1.6489547005124912,38.98
40,0.22414688940152475,3,27,1.4814814814814814,2.0820390565975293,24.39822635135135,1.6883810238635286,41.833333333333336,1.6919073990196178,41.75
40,0.03459350002795805,3,27,1.4814814814814814,1.3726922176979683,48.057432432432435,0.7313899315418081,72.15,0.755994765811665,70.48
40,0.12508473169627832,3,27,1.4814814814814814,1.6515237382940344,39.75929054054054,1.0380453226414132,64.05,1.0607989597472416,62.79
40,0.14004167782128085,3,27,1.4814814814814814,2.0183007886280886,27.87162162162162,1.2607293585513502,51.833333333333336,1.2915881773468796,51.33
40,0.12020293320655587,3,27,1.4814814814814814,1.6041522734874003,41.0472972972973,1.0968923600430185,62.6,1.117162389740063,62.16
40,0.020387151817501843,3,27,1.4814814814814814,1.4114987121240512,47.445101351351354,0.6809451202762887,73.71666666666667,0.7041596601343458,72.96
40,0.04281573270285873,3,27,1.4814814814814814,1.434952409686269,46.4527027027027,0.675031655646385,73.35,0.7067753346103012,72.24
40,0.13802484641479282,3,27,1.4814814814814814,1.6907075732140928,37.80616554054054,1.096452146134478,58.53333333333333,1.1118064431627845,57.4
40,0.21817804780373212,3,27,1.4814814814814814,1.7219634619919029,36.99324324324324,1.1684914567369096,53.5,1.1852272862841369,53.56
40,0.15635044025729836,3,27,1.4814814814814814,2.0462140416776813,26.99535472972973,1.453226146545816,50.6,1.462616275829874,50.0
40,0.2128975791856221,3,27,1.4814814814814814,1.80547042231302,34.3116554054054,1.4009591074700052,41.21666666666667,1.4063094330441421,41.68
40,0.02561104879834552,3,27,1.4814814814814814,1.4563519048529703,44.573479729729726,0.7396050488695185,70.36666666666666,0.7731608141000104,69.33
40,0.232314329705881,3,27,1.4814814814814814,2.106720180930318,22.497888513513512,1.619019905303387,46.083333333333336,1.6147466943522168,46.3
40,0.20720030049965382,3,27,1.4814814814814814,1.7770464299498379,35.082347972972975,1.0258683175482648,62.083333333333336,1.054358567781509,60.82
40,0.06529817116986884,3,27,1.4814814814814814,1.4602264528338973,45.98817567567568,0.7369087839380224,72.3,0.7618571728657765,71.31
40,0.23659604847566604,3,27,1.4814814814814814,nan,13.481841216216216,nan,10.0,nan,10.0
40,0.21088996079845654,3,27,1.4814814814814814,1.8734588478062604,31.59839527027027,1.5134838096638943,46.61666666666667,1.5304934173632578,45.88
40,0.2166680268575177,3,27,1.4814814814814814,2.485499540696273,22.78293918918919,1.5125795336479837,49.78333333333333,1.536550277357648,49.43
40,0.00234683650875435,3,27,1.4814814814814814,2.024971604347229,25.665118243243242,1.2007188911133624,65.0,1.2171236132360568,64.11
40,0.010522803303653919,3,27,1.4814814814814814,1.5618548143554378,42.820945945945944,0.743328609365098,70.63333333333334,0.7633222049208963,69.87
40,0.1158951837161956,3,27,1.4814814814814814,1.5975386065405768,41.332347972972975,1.027909520458668,62.0,1.0500810191889478,60.57
40,0.24421113318793222,3,27,1.4814814814814814,1.8554634741834692,32.7491554054054,1.5757877636463085,51.13333333333333,1.5752532125278642,50.38
40,0.1012982616604703,3,27,1.4814814814814814,1.9836362068717543,23.891469594594593,1.7010866200670283,30.233333333333334,1.700201317762873,30.2
40,0.030859460104529245,3,27,1.4814814814814814,1.351219888071756,50.27449324324324,0.713740144638305,74.0,0.7423660443846587,72.32
40,0.18806140404815025,3,27,1.4814814814814814,1.8758621497734174,32.516891891891895,1.2816819903698373,53.233333333333334,1.293323301205969,52.35
40,0.04281573270285873,3,9.0,4.444444444444445,1.0729135829317678,59.9169481981982,0.5642960055711421,77.61666666666666,0.5975254793075999,76.4
40,0.020387151817501843,3,9.0,4.444444444444445,1.0573973039517532,60.80377252252252,0.5643684749907636,78.15,0.5925607320609366,77.5
40,0.030859460104529245,3,9.0,4.444444444444445,0.9862386490981858,63.531109234234236,0.5500443187799859,78.23333333333333,0.5760597079802471,77.59
40,0.03459350002795805,3,9.0,4.444444444444445,1.0968019221280072,59.216638513513516,0.5653307460089947,77.46666666666667,0.5917294230430749,76.75
40,0.06529817116986884,3,9.0,4.444444444444445,1.1376851107086148,58.280546171171174,0.6395184413549748,74.73333333333333,0.6676835024812419,73.3
40,0.02561104879834552,3,9.0,4.444444444444445,1.083195711846824,59.624859234234236,0.6099575276070452,76.96666666666667,0.6415718435102208,75.99
40,0.010522803303653919,3,9.0,4.444444444444445,1.0928276618187491,59.74802927927928,0.5948932709846091,76.61666666666666,0.6255402439718794,75.77
40,0.20720030049965382,3,9.0,4.444444444444445,1.7122477451423268,37.51407657657658,1.2976273437763781,48.03333333333333,1.318318868518635,47.34
40,0.1158951837161956,3,9.0,4.444444444444445,1.3829061713841584,50.418778153153156,0.9669880632390367,62.38333333333333,0.9943434846629003,61.36
40,0.030859460104529245,3,3.0,13.333333333333332,0.7698887997968521,71.9494466329019,0.46928145974240404,83.43333333333334,0.505720952513871,81.54
40,0.04281573270285873,3,3.0,13.333333333333332,0.8475346980198648,68.58117613956105,0.5075603473059674,80.35,0.5414917755658459,79.35
40,0.020387151817501843,3,3.0,13.333333333333332,0.8264749027559476,69.5308103545301,0.49220830487444045,81.85,0.5181261380766607,80.66
40,0.030859460104529245,3,1.0,40.0,0.6638678383156658,75.54154163540885,0.41748293948934434,83.75,0.4476402439888875,83.1
40,0.15426842923780196,2,9,4.444444444444445,1.5928201151860726,42.838541666666664,1.197770374252441,52.583333333333336,1.2096050901777426,53.41
40,0.13510229227024256,2,9,4.444444444444445,1.6542375697208955,40.26956644144144,1.1603057523991198,52.95,1.1859277756350814,52.65
40,0.21501687512331322,2,9,4.444444444444445,1.8747291033332412,31.067004504504503,2.316791630805807,10.016666666666667,2.3169846291754657,10.0
40,0.16644625098470422,2,9,4.444444444444445,1.8510725876769505,32.99901463963964,1.5827756219721856,44.46666666666667,1.5867688974757104,44.12
40,0.13849993439534572,2,9,4.444444444444445,1.5376550120276373,45.115427927927925,1.1457057912298974,54.9,1.1568712185902201,55.43
40,0.10193998283045418,2,9,4.444444444444445,1.3268621103452132,52.502111486486484,0.8035193605625883,67.9,0.8293911753946049,66.68
40,0.2381545267217074,2,9,4.444444444444445,2.3019945041553393,11.299971846846846,2.3112742951575744,10.0,2.31132187661092,10.0
40,0.16332052907188174,2,9,4.444444444444445,1.6032424649676762,42.673141891891895,1.1916091048971136,55.2,1.207488229699955,54.7
40,0.18128429785871975,2,9,4.444444444444445,1.7716893883975777,35.46241554054054,1.2959414213261706,55.03333333333333,1.3102373393477909,54.59
40,0.10193998283045418,2,3.0,13.333333333333334,1.1725508517013488,56.72833427124367,0.8586653902175578,63.7,0.8828992980301,63.27
40,0.13849993439534572,2,3.0,13.333333333333334,2.3026372374937396,10.370943537797787,2.305227261908511,10.0,2.3052117384163435,10.0
40,0.13510229227024256,2,3.0,13.333333333333334,1.526491584942382,44.12750891014819,1.2226104508055018,53.15,1.2317834257320235,52.74
40,0.10193998283045418,2,1.0,40.0,1.1703886210471393,57.07715991497874,0.8743089177507035,66.35,0.9089741076633429,65.15
40,0.03135400911702668,1,6,13.333333333333332,0.815721778250778,69.93880135059088,0.4680992450485838,83.36666666666666,0.5009838574251552,82.6
40,0.1479146352100257,1,6,13.333333333333332,1.9555169829549597,21.471112361658225,2.0124926757305226,20.166666666666668,2.011357640764516,20.56
40,0.14384820105840285,1,6,13.333333333333332,1.4251621057463157,48.16169574188707,1.245965078790137,48.13333333333333,1.2701204453304316,47.48
40,0.05543713667644677,1,6,13.333333333333332,0.9058107555762146,66.07461076721066,0.543633148391196,79.55,0.5814865639634953,78.14
40,0.23412984201935522,1,6,13.333333333333332,1.902539599862925,30.512567998499343,1.6851585456665525,43.1,1.692734549000005,42.23
40,0.0930861778155588,1,6,13.333333333333332,1.2166437007212942,54.2323203901707,0.7957845678988923,69.13333333333334,0.8179984229385473,68.74
40,0.03135400911702668,1,2.0,40.0,0.6612753689289093,75.85724556139034,0.4084327530036581,85.01666666666667,0.4338058666059166,84.34
40,0.05543713667644677,1,2.0,40.0,0.7968089798912406,70.90366341585397,0.516578382634102,80.25,0.5594091347068738,78.71
40,0.23273525757369062,0,4,40,2.3099806644618512,10.046261565391347,2.3088127983377333,10.0,2.308752011341654,10.0
40,0.02558832977682353,0,4,40,0.6795248970650136,75.11995186296573,0.38943012835497554,84.96666666666667,0.41865428380525793,84.3
40,0.18417213362495202,0,4,40,1.816451735943556,32.38192360590148,2.307631994815583,10.0,2.3075884755249993,10.0
40,0.11549232315292464,0,4,40,1.250848020941019,54.10766754188547,0.9670134681336423,59.61666666666667,0.9845645951617296,59.21
60,0.226069178018932,3,27,2.2222222222222223,2.3077425215695357,10.52224099099099,2.306809790590976,10.0,2.3068765758708785,10.0
60,0.001544689452523192,3,27,2.2222222222222223,2.1142208071442337,22.98001126126126,1.398256116725029,63.233333333333334,1.414329930475563,63.01
60,0.22414688940152475,3,27,2.2222222222222223,2.242240688285312,14.203265765765765,2.306737075460718,10.0,2.3068039417266846,10.0
60,0.03459350002795805,3,27,2.2222222222222223,1.2516446341802407,53.68806306306306,0.6620145348158288,74.96666666666667,0.6980874692178836,73.58
60,0.12508473169627832,3,27,2.2222222222222223,1.5790419068422403,42.41272522522522,1.0195613738070144,59.416666666666664,1.0430055017683917,58.98
60,0.14004167782128085,3,27,2.2222222222222223,1.6234557284965172,40.9276463963964,1.0611671748313498,61.7,1.0890342513467097,61.16
60,0.12020293320655587,3,27,2.2222222222222223,1.5359699038771895,43.71480855855856,0.9124345684305151,68.38333333333334,0.9462389740974281,66.83
60,0.020387151817501843,3,27,2.2222222222222223,1.3139500572337761,50.61233108108108,0.6729893281738809,73.9,0.7007883663769741,72.93
60,0.04281573270285873,3,27,2.2222222222222223,1.2511916880135063,53.51914414414414,0.5952781483213953,76.85,0.6189914780437566,76.31
60,0.13802484641479282,3,27,2.2222222222222223,1.678571985648559,39.203265765765764,1.1030997900252646,60.45,1.1318882848047147,60.2
60,0.21817804780373212,3,27,2.2222222222222223,2.3026092503521896,10.40259009009009,2.3064910401689245,10.0,2.306558148876117,10.0
60,0.15635044025729836,3,27,2.2222222222222223,1.6405990161337294,41.42736486486486,1.1914045449267043,56.483333333333334,1.2082581865559718,56.2
60,0.2128975791856221,3,27,2.2222222222222223,2.356314719260276,12.29588963963964,2.306295341633736,10.0,2.3063628293906047,10.0
60,0.02561104879834552,3,27,2.2222222222222223,1.2339091800354622,54.27927927927928,0.6218642154906658,75.7,0.6515770706401509,74.32
60,0.232314329705881,3,27,2.2222222222222223,2.3387949391528293,11.50760135135135,2.307097034251436,10.0,2.3071638292567744,10.0
60,0.20720030049965382,3,27,2.2222222222222223,2.8728497355907887,11.894707207207206,2.3060994122890714,10.0,2.306167367157663,10.0
60,0.06529817116986884,3,27,2.2222222222222223,1.3047113681698705,51.61176801801802,0.6874374154400318,74.98333333333333,0.7164668799585597,74.01
60,0.23659604847566604,3,27,2.2222222222222223,1.9530785674447413,27.42117117117117,1.2693907479022413,56.71666666666667,1.3000820275324925,55.42
60,0.21088996079845654,3,27,2.2222222222222223,2.1890787117116086,15.91356981981982,1.7385700256266492,27.616666666666667,1.7333863814165638,27.89
60,0.2166680268575177,3,27,2.2222222222222223,2.2957104122316516,12.204391891891891,2.3064334773002786,10.0,2.306500685442785,10.0
