learning_rate, bracket, n_i, r_i, train_loss, train_accuracy, val_loss, val_accuracy, test_loss, test_accuracy
0.043949576017528726,4,81,1.0,1.345692617893219,49.74,0.6864920288324357,71.48333333333333,0.7094981569051743,70.88
0.04493260017975917,4,81,1.0,1.389566799402237,48.74,0.7424270302057266,72.63333333333334,0.7608807682991028,71.73
0.015325700852068821,4,81,1.0,1.5825625085830688,41.24,0.8039078513781229,71.01666666666667,0.8171021270751954,70.5
0.04556810986034113,4,81,1.0,1.3833936649560927,48.86,0.7629178593556086,69.36666666666666,0.7828950691223144,68.39
0.0026903541026186014,4,81,1.0,2.2411146712303163,16.69,1.9898530483245849,44.983333333333334,1.9891281306743622,44.59
0.02109347856783888,4,81,1.0,1.575984982252121,40.69,0.8308992763360341,68.43333333333334,0.8406176447868348,68.21
0.029254967584098013,4,81,1.0,1.4046431165933608,47.3,0.7023279289404551,72.26666666666667,0.722678604722023,71.41
0.001898292157800497,4,81,1.0,2.185356922149658,19.33,1.797621915737788,51.06666666666667,1.797695209980011,50.86
0.0010357790209088306,4,81,1.0,2.289225907325745,13.29,2.2540079514185587,24.583333333333332,2.2539777660369875,24.84
0.0011885750617679678,4,81,1.0,2.274862289428711,14.64,2.208319532871246,27.683333333333334,2.208464016914368,28.02
0.005508077858706407,4,81,1.0,1.9599581253528595,27.77,1.1261946549018225,64.5,1.1300098013877868,63.4
0.021672563511856258,4,81,1.0,1.4854237061738969,45.21,0.7830318669478099,72.25,0.7977711790800095,71.79
0.0019688056948451264,4,81,1.0,2.2350135827064515,17.38,2.0115716298421225,39.06666666666667,2.0105961644649506,38.74
0.01048682121412555,4,81,1.0,1.7296182644367217,35.12,0.8996774633725484,66.95,0.9082447063922882,66.13
0.017619391530554616,4,81,1.0,1.5395652306079866,41.7,0.8540069917837779,67.6,0.8653025317192078,66.81
0.007886807776936242,4,81,1.0,1.74571129322052,34.49,1.043730808297793,63.583333333333336,1.0454056113958359,63.17
0.007697435587826705,4,81,1.0,1.8646843612194062,31.51,0.992675444483757,62.75,1.002825484275818,61.82
0.0018570210334919982,4,81,1.0,2.2829507207870483,13.54,2.222349214553833,21.083333333333332,2.222722387313843,21.26
0.0077794125324254105,4,81,1.0,2.0187801229953766,26.76,1.0209526658058166,71.53333333333333,1.0294823282957077,69.61
0.004809818800044815,4,81,1.0,2.0152645182609557,25.21,1.2354434271653494,57.516666666666666,1.237611083984375,56.94
0.0047241230328485375,4,81,1.0,2.0225763297080994,25.54,1.264550761381785,55.71666666666667,1.2660768592357636,55.34
0.020127879337396903,4,81,1.0,1.624956528544426,38.74,0.8033981819947561,69.8,0.8213438373804093,69.55
0.004346022447850226,4,81,1.0,2.0803199863433837,23.41,1.2808245758215586,61.15,1.282205694913864,60.11
0.01467664439635886,4,81,1.0,1.579855672121048,40.94,0.8626188804705938,67.55,0.8681487447023392,66.54
0.008759676875261892,4,81,1.0,1.7171309745311738,35.49,0.9770642469326655,64.85,0.9836204993724823,63.7
0.03322229421302546,4,81,1.0,1.5496795618534087,41.45,0.7925284117460251,72.06666666666666,0.8134848177433014,70.93
0.012111288322546349,4,81,1.0,1.6165210205316543,39.98,0.8398442129294078,68.6,0.8524364584684372,67.79
0.007010310741282096,4,81,1.0,1.966553624868393,26.57,1.1428160498539606,63.166666666666664,1.1421386259794235,62.88
0.036333332728337386,4,81,1.0,1.4101126080751418,47.81,0.7037696103254955,74.41666666666667,0.7190618914365768,73.64
0.025731475090378663,4,81,1.0,1.3877021151781082,49.93,0.7316561857859294,70.7,0.7480588966608047,70.38
0.03443523865027352,4,81,1.0,1.4297061336040497,46.65,0.7427967747052511,70.03333333333333,0.7730907398462296,69.06
0.0036530494147960415,4,81,1.0,2.1428682696819306,21.02,1.4563250561555228,50.833333333333336,1.4560082519054414,50.4
0.027313880195406363,4,81,1.0,1.4990734177827836,44.9,0.7467360317707061,70.88333333333334,0.7645635491609574,70.21
0.01028149438889412,4,81,1.0,1.749059303998947,34.67,0.9013918290535609,68.25,0.9133560591936112,67.67
0.010345179973624897,4,81,1.0,1.7748787355422975,33.05,1.00325834552447,63.3,1.0136370980739593,62.63
0.017565248349639,4,81,1.0,1.6339241218566896,38.21,0.8879644125699997,66.56666666666666,0.8992936044931412,66.19
0.007490616739695323,4,81,1.0,1.849392570257187,31.32,1.0159949004650115,67.56666666666666,1.0215471178293227,65.94
0.0012898768890242027,4,81,1.0,2.2698798632621764,14.93,2.1809924244880676,37.43333333333333,2.181938235759735,36.57
0.001657618062357261,4,81,1.0,2.222013487815857,18.1,1.9772988359133403,43.86666666666667,1.9774472880363465,43.63
0.00414792630398509,4,81,1.0,2.100165967941284,22.64,1.3236071646213532,53.95,1.3240444791316985,54.3
0.001209088364915475,4,81,1.0,2.272965075969696,13.99,2.2058555324872335,34.93333333333333,2.205396227836609,35.6
0.014525628235415089,4,81,1.0,1.6680757647752762,38.05,0.8453391979138056,71.38333333333334,0.8557977223396301,69.95
0.009358398698291337,4,81,1.0,1.7173052191734315,36.75,0.932673595348994,65.98333333333333,0.9356314462423324,65.49
0.0067398715371108486,4,81,1.0,1.9604301750659943,26.77,1.127162512143453,61.166666666666664,1.1312488806247711,60.21
0.007360183144354127,4,81,1.0,1.8915990281105042,30.87,1.0485579371452332,63.38333333333333,1.0536145544052125,62.1
0.013585958351540042,4,81,1.0,1.6804534071683883,37.31,0.7969697246948878,71.76666666666667,0.8149170792102813,71.35
0.004162602204239741,4,81,1.0,2.007015645503998,26.19,1.279655901590983,58.95,1.27885187625885,57.61
